"effect_size","sample_size","noise","mean_diff"
0.444444444444444,100,"1",0.481308000272467
0.444444444444444,100,"2",0.378238364124996
0.444444444444444,150,"0.5",0.522416279210703
0.444444444444444,150,"1",0.359422155107967
0.444444444444444,150,"2",0.746548641622811
0.444444444444444,200,"0.5",0.494538260498474
0.444444444444444,200,"1",0.575957709734217
0.444444444444444,200,"2",0.37407942737968
0.444444444444444,250,"0.5",0.402184641654375
0.444444444444444,250,"1",0.4776907527597
0.444444444444444,250,"2",0.251286964634999
0.444444444444444,300,"0.5",0.519856926635367
0.444444444444444,300,"1",0.306371624294129
0.444444444444444,300,"2",0.465257998350092
0.444444444444444,350,"0.5",0.416462038088055
0.444444444444444,350,"1",0.450688522916789
0.444444444444444,350,"2",0.32848406068738
0.444444444444444,400,"0.5",0.45837161254594
0.444444444444444,400,"1",0.407297534054315
0.444444444444444,400,"2",0.377048951449611
0.444444444444444,450,"0.5",0.440372147875228
0.444444444444444,450,"1",0.389414556269988
0.444444444444444,450,"2",0.154198982301561
0.444444444444444,500,"0.5",0.430469572656417
0.444444444444444,500,"1",0.354142481055364
0.444444444444444,500,"2",0.468836179906437
0.666666666666667,50,"0.5",0.629053689786388
0.666666666666667,50,"1",0.628700411129827
0.666666666666667,50,"2",0.783505367536113
0.666666666666667,100,"0.5",0.672555910040065
0.666666666666667,100,"1",0.564740048803663
0.666666666666667,100,"2",0.27627729529492
0.666666666666667,150,"0.5",0.745407988354895
0.666666666666667,150,"1",0.614483851818645
0.666666666666667,150,"2",0.806743338656847
0.666666666666667,200,"0.5",0.726955691312772
0.666666666666667,200,"1",0.675372185723668
0.666666666666667,200,"2",0.50804301511463
0.666666666666667,250,"0.5",0.709160006738732
0.666666666666667,250,"1",0.631402186337128
0.666666666666667,250,"2",0.787868306373553
0.666666666666667,300,"0.5",0.613901260889269
0.666666666666667,300,"1",0.760629348726953
0.666666666666667,300,"2",0.431232052972589
0.666666666666667,350,"0.5",0.650953687208823
0.666666666666667,350,"1",0.772609846252377
0.666666666666667,350,"2",0.520268613642298
0.666666666666667,400,"0.5",0.629483579360205
0.666666666666667,400,"1",0.652704928334748
0.666666666666667,400,"2",0.755865660124356
0.666666666666667,450,"0.5",0.627972705102992
0.666666666666667,450,"1",0.615076184924144
0.666666666666667,450,"2",0.605017593634523
0.666666666666667,500,"0.5",0.686494681562425
0.666666666666667,500,"1",0.590657941897789
0.666666666666667,500,"2",0.659010199417174
0.888888888888889,50,"0.5",0.789749950613137
0.888888888888889,50,"1",1.00960759536366
0.888888888888889,50,"2",0.904177484563412
0.888888888888889,100,"0.5",0.876064692781121
0.888888888888889,100,"1",0.745514784332826
0.888888888888889,100,"2",0.515029566447205
0.888888888888889,150,"0.5",1.02943935077319
